ID,Study_Authors,Journal,Year_pub,Title,Duration,Species,Taxon,BirdType,Location,Longitude,Latitude,Weather_data_quality,Country,Year,Trait,Trait_Categ_det,Trait_Categ,Unit_trait,Trait_mean,Trait_SE,Record_date,Record_time,Demog_rate,Demog_rate_Categ,Demog_rate_unit,Demog_rate_mean,Demog_rate_SE,Pop,Count,Pop_mean,Pop_SE,Closed
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1953,LayingDate,Laying_Date,Phenological,JulianDay,124.5,0.755928946,NA,,NumberFledglings,Reproduction,Fledglings/Nest,7.625,0.460492749,BreedingPairs,Y,8,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1954,LayingDate,Laying_Date,Phenological,JulianDay,129.7272727,0.383545875,NA,,NumberFledglings,Reproduction,Fledglings/Nest,9.272727273,0.97319445,BreedingPairs,Y,11,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1955,LayingDate,Laying_Date,Phenological,JulianDay,137.5,1.083086757,NA,,NumberFledglings,Reproduction,Fledglings/Nest,3.785714286,1.000980681,BreedingPairs,Y,14,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1956,LayingDate,Laying_Date,Phenological,JulianDay,133.75,1.097887582,NA,,NumberFledglings,Reproduction,Fledglings/Nest,8.875,1.025348373,BreedingPairs,Y,8,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1957,LayingDate,Laying_Date,Phenological,JulianDay,136.5882353,1.257503431,NA,,NumberFledglings,Reproduction,Fledglings/Nest,5.529411765,0.607051984,BreedingPairs,Y,17,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1958,LayingDate,Laying_Date,Phenological,JulianDay,NA,NA,NA,,NumberFledglings,Reproduction,Fledglings/Nest,NA,NA,BreedingPairs,Y,NA,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1959,LayingDate,Laying_Date,Phenological,JulianDay,122.1818182,0.536286589,NA,,NumberFledglings,Reproduction,Fledglings/Nest,7.727272727,0.487869377,BreedingPairs,Y,11,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1960,LayingDate,Laying_Date,Phenological,JulianDay,132.8,0.8,NA,,NumberFledglings,Reproduction,Fledglings/Nest,9.4,0.339934634,BreedingPairs,Y,10,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1961,LayingDate,Laying_Date,Phenological,JulianDay,125.3846154,1.065414699,NA,,NumberFledglings,Reproduction,Fledglings/Nest,8.384615385,0.820713117,BreedingPairs,Y,13,NA,Yes
1,Ahola_et_al,Journal of Animal Ecology,2009,Great tits lay increasingly smaller clutches than selected for: a study of climate- and density-related changes in reproductive traits,54,Parus major,Bird,Bird,Askainen,21.831193,60.571735,2,Finland,1962,LayingDate,Laying_Date,Phenological,JulianDay,131.3333333,1.105541597,NA,,NumberFledglings,Reproduction,Fledglings/Nest,5.222222222,1.077262191,BreedingPairs,Y,9,NA,Yes
