"","Species","Diet.5Cat_Elton","Diet.Certainty_Elton","Nest.type_Sibly","Foraging.habitat_Sibly","Migratory.mode_Sibly","GenLength_y_IUCN","concern_IUCN","NumberBroods","litter_or_clutch_size_n","litters_or_clutches_per_y","reprod_rate","adult_body_mass_g","maximum_longevity_y","fledging_age_d","female_maturity_d"
"1","Aegolius funereus","VertFishScav","A","cavity","terrestrial","nonmigrant",4.116172628,"LC","single",5.145,1,5.145,131.5,15.9,31.7,364.234
"2","Aethia pusilla","Invertebrate","A","open","","nonmigrant",6.690182652,"LC","single",1,1,1,85,8.1,32,1095
"3","Alca torda","VertFishScav","A","open","pelagic","migrant",16.36956071,"NT","single",1,1,1,720,42,17.2,1456.936
"4","Aptenodytes forsteri","VertFishScav","A","open","pelagic","migrant",16.40149027,"LC","single",1,1,1,29750,40,157.5,1825
"5","Athene cunicularia","VertFishScav","A","burrowing","terrestrial","migrant",3.059077808,"LC","multi",8,1.25,10,150.6,11,NA,365
"6","Athene noctua","Carnivore","","","","nonmigrant",3.424326543,"","",NA,NA,NA,NA,NA,NA,NA
"7","Buteo buteo","VertFishScav","A","open","terrestrial","nonmigrant",9.449470051,"LC","single",3,1,3,878.25,28.8,36.75,910.202
"8","Calonectris diomedea","VertFishScav","A","cavity","pelagic","migrant",13.74119658,"LC","single",1,0.95049505,0.95049505,775.225,24.83333333,91.5,3049.8375
"9","Capreolus capreolus","Herbivore","","","","",4.5,"LC","",1.785,1.05,1.87425,21666.685,17.5,NA,413
"10","Cervus elaphus","Herbivore","ABC","","terrestrial","elavational migrations",2.3,"LC","single",1.035,0.905,0.936675,160166.665,31.5,NA,852
"11","Chelonia mydas","Omnivore","","hole","marine/pelagic","migrant",NA,"EN","",112.5,1.03,115.875,160000,75,NA,3650
"12","Chen  rossii","PlantSeed","A","open","terrestial/freshwater","migrant",8.6,"LC","single",4,1,4,1597.5,22.5,41,739.335
"13","Chen caerulescens caerulescens","PlantSeed","A","open","terrestrial","migrant",8.9,"LC","single",4.2,1,4.2,2630.75,27.5,43.5,730.5
"14","Chrysemys picta","Omnivore","","","freshwater","nonmigrant",20,"LC","multi",6,2,12,371.8,61,NA,2556.68
"15","Cinclus cinclus","Invertebrate","A","cave","freshwater","migrant",2.379229571,"LC","multi",4.52,2,9.04,61.7,10.6,22,364.234
"16","Coracias garrulus","Invertebrate","A","cavity","terrestrial","migrant",3.792817625,"LC","single",4.25,1,4.25,146,9.2,26.5,363.468
"17","Cyanistes caeruleus","Omnivore","A","cavity","terrestrial","nonmigrant",2.932679691,"LC","multi",8,1.5,12,11.2,14.6,NA,365
"18","Daption capense","Invertebrate","A","open","pelagic","migrant",13.86925875,"LC","single",1,1,1,424.75,25,48.5,2191.5
"19","Diomedea exulans","Invertebrate","A","open","pelagic","migrant",22.94958613,"VU","single",1,0.51,0.51,7990,60,277.7,3670.7625
"20","Eudyptula minor","VertFishScav","A","cavity","pelagic","nonmigrant",7.87102974,"LC","multi",2,1.5,3,1157.295833,16.91666667,45.5,726.936
"21","Falco naumanni","Invertebrate","A","cave","terrestrial","migrant",2.996853971,"LC","single",4.2,1,4.2,152.5,10.91666667,27,545.202
"22","Ficedula hypoleuca","Invertebrate","A","cavity","terrestrial","migrant",4.116172628,"LC","single",5.85,1,5.85,12.775,15,15.5,365
"23","Forpus passerinus","PlantSeed","A","cavity","terrestrial","nonmigrant",2.991287825,"LC","multi",6,2,12,24,11.6,35,363.468
"24","Fratercula arctica","VertFishScav","A","cavity","pelagic","migrant",14.22956209,"VU","single",1,1,1,437.9166667,40.83333333,47.7,1460
"25","Fulica atra","PlantSeed","A","open","freshwater","resident",4.19671358,"LC","multi",7.6,1.5,11.4,775,32.3,57.5,365
"26","Fulmarus glacialis","VertFishScav","A","open","pelagic","migrant",25.34141952,"LC","single",1,1,1,785,51,52,2561
"27","Hirundo rustica","Invertebrate","A","cave","terrestrial","migrant",3.132150175,"LC","multi",4.495,1.8,8.091,19,16,20.75,365
"28","Hydrobates pelagicus","Carnivore","A","cavity","pelagic","migrant",13.77408344,"LC","single",1,1,1,25.45,33.8,62.8,1095
"29","Ichthyaetus audouinii","VertFishScav","","open","marine","migrant",13,"LC","single",2.495,1,2.495,545.25,20.91666667,37.5,1095
